corridor	kOr@do:			
coughed	kOft			
could	kUd			
couldn't	kUd@nt			
couple	k6p@l			
cousin	k6z@n			
cover	k6v@			
coward	k{O@d			
cow	k{O			
coyote	kAe@}ti:			
cranny	kr{ni:			
crash	kr{S			
crawled	kro:ld			
cross	krOs			
cube	kj}:b			
cult	kOlt	k6lt		
curl	k3:l			
curriculum	k@rIkj@l@m			
customers	k6st@m@z			
dabble	d{b@l			
damage	d{mIdZ			
dance	d{ns	d6:ns		
dare	de:			
dark	d6:k			
day	d{I			
dead	ded			
dear	dI@r			
deck	dek			
deep	di:p			
delete	d@li:t			
dew	dZ}:			
dew	dZ}:	dj}:		
diabetes	dAe@bi:ti:z			
display	d@spl{I			
do	d}:			
do	d}:			
does	d6z			
dole	d@}l			
doll	dOl			
dolls	dOlz			
don't	d@}nt			
Don't	d@}nt			
dormitory	do:m@tri:	do:m@to:ri:		
dots	dOts			
down	d{On			
Down	d{On			
draft	dr6:ft			
draw	dro:			
drawing	dro:IN	dro:rIN		
dreary	drI@ri:			
drew	dr}:			
due	dZ}:			
due	dZ}:	dj}:		
during	dZ}:rIN			
dwarf's	dwo:fs			
ears	I@z			
earth	3:T			
either	AeD@			
either	i:D@			
elbow	elb@}			
Elle	el			
Ellen	el@n			
elm	elm			
encircled	@ns3:k@ld			
end	end			
End	end			
Enjoying	endZoIIN			
enough	@n6f			
epidemic	ep@demIk			
epilepsy	ep@lepsi:			
Ethan	i:T@n			
evaporate	@v{p@r{It			
evening	i:vnIN			
eventually	@ventS@li:			
ever	ev@			
every	evri:			
exactly	egz{ktli:			
exam	@gz{m			
excuse	Ikskj}:s			
expected	@kspekt@d			
eye	Ae			
face	f{Is			
facial	f{IS@l			
fall	fo:l			
far	f6:			
fashioned	f{S@nd			
fashion	f{S@n			
fatigue	f@ti:g			
fear	fI@r			
feel	fi:l			
feel	fi:l			
fell	fel			
fierce	fI@s			
filmed	fIlmd			
find	fAen			
fine	fAen			
fire	fAe@			
fishing	fISIN			
flag	fl{g			
flat	fl{t			
flesh	fleS			
flew	fl}:			
flicks	flIks			
floor	flo:			
floor	flo:r			
flounder	fl{Ond@			
flutter	fl6t@			
foggy	fOgi:			
food	f}:d			
foot	fUt			
for	f@			
for	f@r			
found	f{Ond			
freedom	fri:d@m			
Friday	frAed{I			
friends	frendz			
from	fr@m			
front?	fr6nt			
frugal	fr}:g@l			
fur	f3:			
further	f3:D@			
futile	fj}:tAel			
gaffe	g{f			
gallop	g{l@p			
garden	g6:d@n			
garish	ge:rIS			
gave	g{Iv			
gavel	g{v@l			
gazelle	g@zel			
gear	gI@			
get	get			
gets	gets			
giant	dZAe@nt			
giant	dZAe@nt			
girl	g3:l			
girls	g3:lz			
given	gIv@n			
glad	gl{d			
glare	gle:			
Glebe	gli:b			
glimpsed	glImpst			
globe	gl@}b			
glove	gl6v			
glued	gl}:d			
go	g@}			
going	g@}IN			
golf	gOlf	g@}lf		
good	gUd			
goodness	gUdn@s			
got	gOt			
gown	g{On			
grabbed	gr{bd			
graph	gr{f			
grass	gr6:s			
graze	gr{Iz			
greasy	gri:zi:			
ground	gr{Ond			
group	gr}:p			
grow	gr@}			
growled	gr{Old			
guess	ges			
guitar	g@t6:			
gulf	gOlf	g6lf		
hade	h{Id			
had	h{d			
haggle	h{g@l			
hah	h6:			
hail	h{Il			
haired	he:d			
hair	he:			
half	h6:f			
Hal	h{l			
hall	ho:l			
Halloween	h{l@wi:n			
ham	h{m			
hane	h{In			
han	h{n			
happened	h{p@nd			
happen	h{p@n			
hard	h6:d			
hard	h6:d			
harl	h6:l			
harn	h6:n			
has	h{z			
hate	h{It			
hat	h{t			
haunted	ho:nt@d			
have	h{f			
have	h{v			
have	h@v			
have	@v			
having	h{vIN			
hay	h{I			
head	hed			
heard	h3:d			
heared	hI@d			
hear	hI@			
heart	h6:t			
heathen	hi:D@n			
heat	hi:t			
hedge	hedZ			
he'd	hi:d			
He'd	hi:d			
heed	hi:d			
heel	hi:l			
heel	hi:l			
heen	hi:n			
he	hi:			
he	hi:			
He	hi:			
he	i:			
height	hAet			
Helen	hel@n			
helicopter	heli:kOpt@	hel@kOpt@		
helicopter	heli:kOpt@r			
hell	hel			
hen	hen			
herd	h3:d			
here	hI@			
her	h@			
her	h3:			
her	h3:			
her	h@r			
het	het			
hide	hAed			
hid	hId			
hi	hAe			
hile	hAel			
hill	hIl			
hill	hIl			
him	hIm			
himself	hImself			
hine	hAen			
hinges	hIndZ@z			
hin	hIn			
his	hIz			
his	Iz			
hit	hIt			
hode	h@}d			
hod	hOd			
hoe	h@}			
hoil	hoIl			
hoin	hoIn			
hoit	hoIt			
hole	h@}l			
hole	h@}l			
holes	h@}lz			
holl	hOl			
home	h@}m			
hone	h@}n			
hon	hOn			
hood	hUd			
hooll	hUl			
hoon	h}:n			
hoot	h}:t			
hoott	hUt			
horde	ho:d			
hore	ho:			
horn	ho:n			
horror	hOr@			
hort	ho:t			
hote	h@}t			
hot	hOt			
hour	{O@r			
household	h{Osh@}ld			
house	h{Os			
hovered	hOv@d			
howd	h{Od			
how	h{O			
how	h{O			
howl	h{Ol			
hown	h{On			
howt	h{Ot			
hoyd	hoId			
hoy	hoI			
hud	h6d			
huge	hj}:dZ			
hull	h6l			
hunger	h6Ng@			
hun	h6n			
hunter	h6nt@			
hunting	h6ntIN			
hurled	h3:ld			
hurl	h3:l			
hurn	h3:n			
hurrah	h@r6:			
hurry	h6ri:			
hurt	h3:t			
hut	h6t			
I	Ae			
idea	AedI@r			
if	If			
I'll	Ael			
I'm	Aem			
imagine	@m{dZ@n	Im{dZ@n		
increased	INkri:st			
influenza	Infl}:enz@			
in	In			
inside?	InsAed			
instant	Inst@nt			
instead	Insted			
into	Int@			
is	Iz			
Isn't	Iz@n			
isn't	Iz@nt			
Isn't	Iz@nt			
is	@z			
itches	ItS@z			
it	It			
It	It			
it's	Its			
it's	@ts			
it;	@t			
it?	@t			
it	@t			
It	@t			
I've	Aev			
Jeff's	dZefs			
John	dZOn			
join	dZoIn			
joists	dZoIsts			
jokes	dZ@}ks			
Judith	dZ}:d@T			
June	dZ}:n			
just	dZ6st			
Just	dZ6st			
kangaroo	k{Ng@r}:			
kangaroo	k{Ng@r}:			
kazoo	k@z}:			
kid	kId			
kindly	kAendli:			
kitchen	kItS@n			
knowledge	nOlIdZ			
know	n@}			
landed	l{nd@d			
last	l6:st			
later	l{It@r			
latest	l{It@st			
law	lo:			
leader	li:d@			
leaf	li:f			
leave	li:v			
length	leNkT			
lethargic	l@T6:dZIk			
let	let			
lifted	lIft@d			
lighthouse	lAeth{Os			
light?	lAet			
like	lAek			
line	lAen			
listen	lIs@n			
little	lIt@l			
lived	lIvd			
location	l@}k{IS@n			
lodge	lOdZ			
loft	lOft			
log	lOg			
lonely	l@}nli:			
longer	lONg@			
long	lON			
looked	lUkt			
looking	lUkIN			
look	lUk			
lore	lo:			
loud	l{Od			
low	l@}			
lure	l}:@			
macaroni	m{k@r@}ni:			
made	m{Id			
magazine	m{g@zi:n			
make	m{Ik			
making	m{IkIN			
Malcolm	m{lk@m			
mallow	m{l@}			
Mal	m{l			
man	m{n			
manufacture	m{nj@f{kS@	m{nj}:f{kS@	m{n@f{ktS@	m{nj@f{ktS@
manuscripts	m{nj@skrIpts			
marched	m6:tSt			
March	m6:tS			
mare	me:			
mascara	m{sk6:r@	m@sk6:r@		
masquerade	m{sk@r{Id			
mass	m{s			
maths	m{Ts			
mauve	m@}v			
may	m{I			
mayor	me:			
meeting	mi:tIN			
melancholy	mel@nkOli:			
Melbourne	melb@n			
mellow	mel@}			
Mel	mel			
Melvin's	melv@nz			
me	mi:			
methane	mi:T{In			
methyl	meT@l			
middle	mId@l			
milk	mIlk			
miller	mIl@			
million	mIlj@n			
mill	mIl			
mills	mIlz			
mind	mAend			
mirror	mIr@			
missing	mIsIN			
moan	m@}n			
moat	m@}t			
mob	mOb			
more	mo:			
morning	mo:nIN			
Most	m@}st			
mother	m6D@			
mourning	mo:nIN			
moustache	m@st6:S			
moved	m}:vd			
mown	m@}n			
Mr	mIst@			
much	m6tS			
muddy	m6di:			
museum	mj}:zi:@m			
music	mj}:zIk			
my	mAe			
My	mAe			
named	n{Imd			
nearby	nI@bAe			
nearer	nI@r@			
near	nI@			
near	nI@r			
never	nev@r			
new	nj}:			
new	nj}:			
Next	neks			
next	nekst			
nice	nAes			
Nigel	nAedZ@l			
night	nAet			
Ninjas	nIndZ@z			
noise	noIz			
no	n@}			
No	n@}			
nook	nUk			
noose	n}:s			
nothing	n6TIN			
not	nOt			
now	n{O			
Now	n{O			
nudge	n6dZ			
nurse	n3:s			
occasion?	@k{IZ@n			
odd	Od			
offer	Of@r			
off	Of			
of	@v			
ointment	oIntm@nt			
old	@}ld			
once	w6ns			
Once	w6ns			
one	w6n			
One	w6n			
onion	6nj@n			
only	@}nli:			
on	On			
order	o:d@r			
or	o:			
other	6D@			
ought	o:t			
out	{Ot			
outside	{OtsAed			
oven	6v@n			
overslept	@}v@slept			
over	@}v@			
overwhelmed	@}v@welmd			
own	@}n			
own	@}n			
paddle	p{d@l			
pad	p{d			
paint	p{Int			
palace	p{l@s			
pand	p{nd			
panel	p{n@l			
panned	p{nd			
pan	p{n			
pant	p{nt			
paranoia	p{r@noI@			
parish	p{rIS			
Paris	p{r@s			
parrot	p{r@t			
passers	p6:s@z			
pat	p{t			
Paul's	po:lz			
paw	po:			
pearl	p3:l			
ped	ped			
pend	pend			
pen	pen			
pent	pent			
perhaps	p@h{ps			
Pete	pi:t			
pet	pet			
pew	pj}:			
phone	f@}n			
piano	pi:{n@}			
picked	pIkt			
pile	pAel			
pillar	pIl@			
pillion	pIlj@n			
pillow	pIl@}			
pill	pIl			
pills	pIlz			
place	pl{Is			
plane	pl{In			
plant	pl{nt	pl6:nt		
play	pl{I			
Please	pli:z			
plug	pl6g			
pole	p@}l			
Polish	p@}lIS			
polish	pOlIS			
poodle	p}:d@l			
pool	p}:l			
pools	p}:lz			
poor	po:			
poor	po:			
porcupine	po:kj@pAen			
pouch	p{OtS			
pour	po:			
practical	pr{ktIk@l			
price	prAes			
pricked	prIkt			
proof	pr}:f			
proposals	pr@p@}z@lz			
puffin	p6f@n			
pull	pUl			
puny	pj}:ni:			
pure	pj}:@			
pushed	pUSt			
pyjamas	p@dZ6:m@z			
pyramid	pIr@mId			
quickly	kwIkli:			
quite	kwAet			
raffle	r{f@l			
rafters	r6:ft@z			
rain	r{In			
range	r{IndZ			
ran	r{n			
ran	r{n			
rare	re:			
rather	r6:D@			
rat	r{t			
rats	r{ts			
raw	ro:			
read	ri:d			
recipe	res@pi:			
record	reko:d			
relaxing	r@l{ksIN			
relish	relIS			
resistance	r@zIst@ns			
right	rAet			
Right	rAet			
risks	rIsks			
risky	rIski:			
roaring	ro:rIN	ro:IN		
roar	ro:			
rodent	r@}d@nt			
rogue	r@}g			
rolling	r@}lIN			
roof	r}:f			
room	r}:m			
Rosa's	r@}z@z			
roses	r@}z@z			
rotten	rOt@n			
round	r{Ond			
rubble	r6b@l			
rude	r}:d			
runway	r6nw{I			
sad	s{d			
safe	s{If			
said	sed			
sandwich	s{nwItS			
satchel	s{tS@l			
sat	s{t			
sawing	so:rIN	so:IN		
saw	so:			
saw	so:			
say	s{I			
says	sez			
scalp	sk{lp			
scenes	si:nz			
school	sk}:l			
school	sk}:l			
scorpio	sko:pi:@}			
scouts	sk{Ots			
scowl	sk{Ol			
scratch?	skr{tS			
scruffy	skr6fi:			
search	s3:tS			
second	sek@n			
seconds	sek@nz			
seemed	si:md			
seems	si:mz			
seen	si:n			
see	si:			
self	self			
sent	sent			
serenade	ser@n{Id			
several	sevr@l			
shallow	S{l@}			
shall	S{l			
Sharon	S{r@n			
shave	S{Iv			
Shaw	So:			
She'll	Si:l			
sheriff	Ser@f			
she	Si:			
shiver	SIv@			
shoe	S}:			
shook	SUk			
shore	So:			
shouted	S{Ot@d			
shower	S{O@			
shrew	Sr}:			
shrieked	Sri:kt			
shudder	S6d@			
shutter	S6t@			
sight	sAet			
silhouette	sIl@wet			
skirt	sk3:t			
sloppily	slOp@li:			
sloth	slo:T			
slowly	sl@}li:			
slowly	sl@}li:			
slow	sl@}			
smaller	smo:l@			
sneer	snI@r			
snug	sn6g			
soft	sOft			
some	s@m			
Some	s@m			
soothe	s}:D			
sore	so:			
so?	s@}			
so	s@}			
So	s@}			
souvenir	s}:v@nI@			
souvenir	s}:v@nI@			
space	sp{Is			
speech	spi:tS			
speed	spi:d			
spent	spent			
sphere	sfI@			
spider	spAed@			
spilt	spIlt			
splotch	splOtS			
spot	spOt			
Springwood	sprINwUd			
squad	skwOd			
square	skwe:r			
squirt	skw3:t			
stamping	st{mpIN			
stand	st{nd			
stay	st{I			
steep	sti:p			
sterile	sterAel			
stew	stS}:	stj}:		
stones	st@}nz			
stone	st@}n			
stood	stUd			
stretched	stretSt			
strew	str}:			
structure	str6ktS@			
stupid	stj}:p@d			
sudden	s6d@n			
sun	s6n			
supermarket	s}:p@m6:k@t			
supply	s@plAe			
Surely	So:li:			
sure	So:			
surface	s3:f@s			
surfing	s3:fIN			
Susan	s}:z@n			
switched	swItSt			
syrup	sIr@p			
table	t{Ib@l			
tackle	t{k@l			
tail	t{Il			
taken	t{Ik@n			
take	t{Ik			
tangerine	t{ndZ@ri:n			
tassel	t{s@l			
taw	to:			
tearing	te:rIN			
tears	tI@z			
teeth	ti:T			
tempting	temptIN			
tended	tend@d			
terriers	teri:@z			
than	D{n			
than	D@n			
Thank	T{Nk			
that	D{t			
that	D@t			
the	D@			
The	D@			
the	Di:			
The	Di:			
their	De:			
them	Dem						
then	Den			
then	Den			
Then	Den			
there	De:			
There	De:			
There'll	De:l			
these	Di:z			
they	D{I			
They	D{I			
think	TINk
this	DIs						
This	DIs			
those	D@}z			
thrash	Tr{S			
threadbare	Tredbe:			
three	Tri:			
threw	Tr}:			
throne	Tr@}n			
through	Tr}:			
thrust	Tr6st			
thunder	T6nd@			
Thus	D6s			
tiger	tAeg@			
tilts	tIlts			
time	tAem			
tomato	t@m6:t@}			
tomorrow	t@mOr@}			
tonight	t@nAet			
took	tUk			
too	t}:			
topic	tOpIk			
tore	to:			
to	t}:			
to	t}:			
to	t@			
touch	t6tS			
tourists	t}:r@sts			
tour	t}:@			
towel	t{Ol			
traffic	tr{fIk			
train	tr{In			
tree	tri:			
trifle	trAef@l			
trip	trIp			
triumph	trAe6mf	trAe@mf		
trouble	tr6b@l			
trout	tr{Ot			
Troy	troI			
TRUE	tr}:			
truth	tr}:T			
tuna	tS}:n@	tj}:n@		
tuner	tS}:n@	tj}:n@		
tune	tS}:n	tj}:n		
turned	t3:nd			
twins	twInz			
unamused	6n@mj}:zd			
uncontrollable	6nk@ntr@}l@b@l			
undaunted	6ndo:nt@d			
under	6nd@			
Unfortunately	6nfo:tS@n@tli:			
unsafe	6ns{If			
up	6p			
upon	@pOn			
used	j}:s			
us	@s			
usual	j}:Z}:@l			
vaccine	v{ksi:n			
vegemite	vedZ@mAet	vedZi:mAet		
very	veri:			
view	vj}:			
view	vj}:			
violently	vAel@ntli:			
vision	vIZ@n			
voice	voIs			
voodoo	v}:d}:			
vowed	v{Od			
wagon	w{g@n			
waiting	w{ItIN			
walk	wo:k			
walls	wo:lz			
wanted	wOnt@d			
warp	wo:p			
war	wo:			
washing	wOSIN			
wash	wOS			
wasn't	wOz@nt			
Was	wOz			
was	w@z			
watched	wOtSt			
water	wo:t@			
way	w{I			
We'd	wi:d			
Well	wel			
went	went			
were	w@			
We're	we:			
were	w@r			
We	wi:			
Whenever	wenev@			
when	wen			
where	we:			
whether	weD@			
while	wAel			
whilst	wAelst			
who'd	h}:d			
who	h}:			
who	h}:			
Who	h}:			
whole	h@}l			
who'll	h}:l			
whore	ho:			
why	wAe			
Why	wAe			
will	w@l			
wind	wInd			
wise	wAez			
wish	wIS			
with	wID			
with	wIT			
won't	w@}nt			
word	w3:d			
work	w3:k			
wouldn't	wUd@nt			
would	w@d			
would	wUd			
Would	wUd			
wound	w}:nd			
Wran	r{n			
wren	ren			
yap	j{p			
yeah	je:			
year	jI@r			
yes	jes			
yet	jet			
you?	j}:			
you	j}:			
you	j}:			
you	j@			
You	j}:			
you'll	j}:l			
young	j6N			
your	j@			
your	jo:			
your	j@r			
yuppie	j6pi:			
Zelda	zeld@			
zombie	zOmbi:			
zoo	z}:			
